Date,Cryptomonnaie,PrixOuverture,PrixCloture,Volume
2023-06-25,Bitcoin,13738.82,30846.83,7471.2
2023-06-25,Ethereum,17810.09,6876.19,7266.1
2023-06-25,Ripple,45774.69,14842.08,1163.22
2023-06-25,Litecoin,21588.91,37173.0,1189.44
2023-06-26,Bitcoin,16268.52,37197.94,2830.91
2023-06-26,Ethereum,28915.97,18974.3,3973.22
2023-06-26,Ripple,58704.33,57344.26,6968.95
2023-06-26,Litecoin,46862.21,23540.4,9534.09
2023-06-27,Bitcoin,17148.68,14797.19,4771.74
2023-06-27,Ethereum,54885.36,51934.6,5623.75
2023-06-27,Ripple,33302.06,37488.76,3386.0
2023-06-27,Litecoin,48113.14,59107.18,1771.33
2023-06-28,Bitcoin,18644.73,22334.62,4441.43
2023-06-28,Ethereum,59623.95,12777.18,2317.27
2023-06-28,Ripple,49172.84,52103.02,7186.85
2023-06-28,Litecoin,15200.77,42003.76,8254.63
2023-06-29,Bitcoin,31353.64,38160.3,8474.05
2023-06-29,Ethereum,16355.01,57108.66,4853.7
2023-06-29,Ripple,25711.78,58483.07,9706.09
2023-06-29,Litecoin,25039.52,54094.44,1151.33
2023-06-30,Bitcoin,35398.88,53165.37,9402.44
2023-06-30,Ethereum,7562.72,32388.5,9177.73
2023-06-30,Ripple,12294.78,37960.87,8476.57
2023-06-30,Litecoin,47986.93,17664.77,6790.58
2023-07-01,Bitcoin,42592.28,11310.97,2449.0
2023-07-01,Ethereum,46311.51,34806.62,3237.1
2023-07-01,Ripple,6692.17,35845.76,4435.28
2023-07-01,Litecoin,34107.73,51892.92,2005.9
2023-07-02,Bitcoin,30587.25,47636.67,9997.25
2023-07-02,Ethereum,55004.39,24111.52,3230.83
2023-07-02,Ripple,52502.61,34811.5,7338.51
2023-07-02,Litecoin,31499.05,5737.33,1909.59
2023-07-03,Bitcoin,47702.29,54395.45,7553.85
2023-07-03,Ethereum,26194.11,28914.6,3821.71
2023-07-03,Ripple,42208.98,50632.25,4125.24
2023-07-03,Litecoin,23270.09,15301.45,5496.33
2023-07-04,Bitcoin,33415.69,19271.58,8404.3
2023-07-04,Ethereum,5358.98,9966.15,8609.67
2023-07-04,Ripple,16885.01,7729.51,2029.34
2023-07-04,Litecoin,7415.15,56557.76,4373.04
2023-07-05,Bitcoin,57324.89,57526.55,1829.82
2023-07-05,Ethereum,39199.32,31041.62,1577.87
2023-07-05,Ripple,51404.63,12735.83,6373.63
2023-07-05,Litecoin,43876.16,55772.64,3885.91
2023-07-06,Bitcoin,39748.88,20484.42,1611.7
2023-07-06,Ethereum,29859.95,9724.64,8883.19
2023-07-06,Ripple,23502.93,42025.14,9010.42
2023-07-06,Litecoin,32708.68,46019.65,4581.35
2023-07-07,Bitcoin,39978.23,45881.95,7624.66
2023-07-07,Ethereum,29027.56,25377.95,7657.96
2023-07-07,Ripple,16817.34,12833.59,9056.46
2023-07-07,Litecoin,19210.35,44462.63,3834.57
2023-07-08,Bitcoin,45593.92,7224.32,7093.44
2023-07-08,Ethereum,35000.01,18473.94,8433.57
2023-07-08,Ripple,57505.94,32676.69,5436.27
2023-07-08,Litecoin,50703.76,56835.44,1086.3
2023-07-09,Bitcoin,15214.5,30061.73,4872.89
2023-07-09,Ethereum,40075.97,30063.31,6740.95
2023-07-09,Ripple,25385.8,24604.07,5687.31
2023-07-09,Litecoin,32100.18,9920.26,9937.8
2023-07-10,Bitcoin,9945.68,51337.0,5964.16
2023-07-10,Ethereum,53782.04,42494.03,6396.79
2023-07-10,Ripple,9376.68,14102.09,8458.02
2023-07-10,Litecoin,48806.43,55661.53,8484.3
2023-07-11,Bitcoin,51216.48,36823.23,2177.0
2023-07-11,Ethereum,30497.02,51998.93,8887.86
2023-07-11,Ripple,32078.72,11903.1,2168.48
2023-07-11,Litecoin,30841.29,30264.4,9815.47
2023-07-12,Bitcoin,40283.06,51120.05,1555.66
2023-07-12,Ethereum,35800.15,53774.83,9747.13
2023-07-12,Ripple,21772.32,11120.51,5860.14
2023-07-12,Litecoin,40397.19,46835.85,4672.3
2023-07-13,Bitcoin,27381.02,51917.03,5785.07
2023-07-13,Ethereum,34352.48,36743.56,9357.4
2023-07-13,Ripple,27086.0,8835.68,6731.37
2023-07-13,Litecoin,11511.25,42029.16,9675.45
2023-07-14,Bitcoin,11101.91,18847.8,8481.32
2023-07-14,Ethereum,50864.52,34572.95,4104.26
2023-07-14,Ripple,41058.09,34249.25,2667.02
2023-07-14,Litecoin,14932.48,10828.3,3892.11
2023-07-15,Bitcoin,33626.91,40275.91,6554.03
2023-07-15,Ethereum,47489.03,49941.09,1088.21
2023-07-15,Ripple,33816.79,14469.65,6587.68
2023-07-15,Litecoin,5164.53,7295.46,3886.59
2023-07-16,Bitcoin,13622.19,30804.22,6821.38
2023-07-16,Ethereum,30309.88,47494.14,2750.62
2023-07-16,Ripple,37601.65,24149.83,4293.47
2023-07-16,Litecoin,59820.7,8278.97,4603.62
2023-07-17,Bitcoin,34332.29,27853.04,9528.25
2023-07-17,Ethereum,27651.57,35886.45,9339.32
2023-07-17,Ripple,26240.57,53430.98,9599.39
2023-07-17,Litecoin,16494.14,21108.17,7398.48
2023-07-18,Bitcoin,6771.95,23372.49,3048.25
2023-07-18,Ethereum,41669.93,28991.15,4220.46
2023-07-18,Ripple,55285.8,56584.17,1178.36
2023-07-18,Litecoin,52327.93,47049.85,2057.88
2023-07-19,Bitcoin,16971.84,39219.62,9063.74
2023-07-19,Ethereum,51939.83,35463.31,2416.19
2023-07-19,Ripple,57817.69,45528.5,3262.88
2023-07-19,Litecoin,36419.31,56464.81,6989.57
